date,owner,station,time,artist,title,ensemble,gender,race,city,b2b_gender,b2b_combinedGender,b2b_lgbtq,b2b_raceGender
1/7/22,Hubbard,WUBE-FM,2:38:00 AM,"COMBS, LUKE",Doin' This,solo,men,white,Cincinnati,B2Bmen,B2BCombMen,B2BStraight,B2BwhiteMen
1/7/22,Hubbard,WUBE-FM,2:42:00 AM,"ALDEAN, JASON",Girl Like You,solo,men,white,Cincinnati,B2Bmen,B2BCombMen,B2BStraight,B2BwhiteMen
1/7/22,Hubbard,WUBE-FM,2:46:00 AM,"WALLEN, MORGAN",Sand In My Boots,solo,men,white,Cincinnati,B2Bmen,B2BCombMen,B2BStraight,B2BwhiteMen
1/7/22,Hubbard,WUBE-FM,2:49:00 AM,"KEITH, TOBY",Old School,solo,men,white,Cincinnati,B2Bmen,B2BCombMen,B2BStraight,B2BwhiteMen
1/7/22,Hubbard,WUBE-FM,2:52:00 AM,"UNDERWOOD, CARRIE",Church Bells,solo,women,white,Cincinnati,X,X,B2BStraight,X
1/7/22,Hubbard,WUBE-FM,2:59:00 AM,"BRICE, LEE",Memory I Don't Mess With,solo,men,white,Cincinnati,X,X,B2BStraight,X
1/7/22,Hubbard,WUBE-FM,3:03:00 AM,"SHELTON, BLAKE",Come Back As A Country Boy,solo,men,white,Cincinnati,B2Bmen,B2BCombMen,B2BStraight,B2BwhiteMen
1/7/22,Hubbard,WUBE-FM,3:06:00 AM,LADY ANTEBELLUM,Need You Now,trio,male-female,white,Cincinnati,X,X,B2BStraight,X
1/7/22,Hubbard,WUBE-FM,3:10:00 AM,"DAVIS, JORDAN/BRYAN, LUKE",Buy Dirt,collab,men,white,Cincinnati,X,X,B2BStraight,X
1/7/22,Hubbard,WUBE-FM,3:13:00 AM,"CLARK, CALLISTA",It's 'Cause I Am,solo,women,white,Cincinnati,X,X,B2BStraight,X
1/7/22,Hubbard,WUBE-FM,3:16:00 AM,"STAPLETON, CHRIS",You Should Probably Leave,solo,men,white,Cincinnati,X,X,B2BStraight,X
1/7/22,Hubbard,WUBE-FM,3:19:00 AM,"YOUNG, CHRIS/BROWN, KANE",Famous Friends,collab,men,multiethnic,Cincinnati,B2Bmen,B2BCombMen,B2BStraight,X
1/7/22,Hubbard,WUBE-FM,3:22:00 AM,"RHETT, THOMAS",Slow Down Summer,solo,men,white,Cincinnati,B2Bmen,B2BCombMen,B2BStraight,X
1/7/22,Hubbard,WUBE-FM,3:30:00 AM,"SHANE, ELVIE",My Boy,solo,men,white,Cincinnati,B2Bmen,B2BCombMen,B2BStraight,B2BwhiteMen
1/7/22,Hubbard,WUBE-FM,3:33:00 AM,"MCCOLLUM, PARKER",To Be Loved By You,solo,men,white,Cincinnati,B2Bmen,B2BCombMen,B2BStraight,B2BwhiteMen
1/7/22,Hubbard,WUBE-FM,3:36:00 AM,"COMBS, LUKE",Hurricane,solo,men,white,Cincinnati,B2Bmen,B2BCombMen,B2BStraight,B2BwhiteMen
1/7/22,Hubbard,WUBE-FM,3:40:00 AM,"MOON, NIKO",Paradise To Me,solo,men,white,Cincinnati,B2Bmen,B2BCombMen,B2BStraight,B2BwhiteMen
1/7/22,Hubbard,WUBE-FM,3:44:00 AM,"BRYAN, LUKE",Games,solo,men,white,Cincinnati,B2Bmen,B2BCombMen,B2BStraight,B2BwhiteMen
1/7/22,Hubbard,WUBE-FM,3:47:00 AM,"RAY, MICHAEL",Whiskey And Rain,solo,men,white,Cincinnati,B2Bmen,B2BCombMen,B2BStraight,B2BwhiteMen
1/7/22,Hubbard,WUBE-FM,3:50:00 AM,"URBAN, KEITH",Wild Hearts,solo,men,white,Cincinnati,B2Bmen,B2BCombMen,B2BStraight,B2BwhiteMen
1/7/22,Hubbard,WUBE-FM,3:53:00 AM,DAN + SHAY,Nothin' Like You,duo,men,multiethnic,Cincinnati,B2Bmen,B2BCombMen,B2BStraight,X
1/7/22,Hubbard,WUBE-FM,4:00:00 AM,MADDIE & TAE,Die From A Broken Heart,duo,women,white,Cincinnati,X,X,B2BStraight,X
1/7/22,Hubbard,WUBE-FM,4:03:00 AM,"BRYAN, LUKE",Up,solo,men,white,Cincinnati,X,X,B2BStraight,X
1/7/22,Hubbard,WUBE-FM,4:06:00 AM,FLORIDA GEORGIA LINE,Cruise,duo,men,white,Cincinnati,B2Bmen,B2BCombMen,B2BStraight,B2BwhiteMen
1/7/22,Hubbard,WUBE-FM,4:10:00 AM,"ALLEN, JIMMIE/PAISLEY, BRAD",Freedom Was A Highway,collab,men,multiethnic,Cincinnati,B2Bmen,B2BCombMen,B2BStraight,X
1/7/22,Hubbard,WUBE-FM,4:13:00 AM,HARDY,Give Heaven Some Hell,solo,men,white,Cincinnati,B2Bmen,B2BCombMen,B2BStraight,X
1/7/22,Hubbard,WUBE-FM,4:16:00 AM,"HAYES, WALKER",Fancy Like,solo,men,white,Cincinnati,B2Bmen,B2BCombMen,B2BStraight,B2BwhiteMen
1/7/22,Hubbard,WUBE-FM,4:19:00 AM,ADELE,Easy On Me,solo,women,white,Cincinnati,X,X,B2BStraight,X
1/7/22,Hubbard,WUBE-FM,4:23:00 AM,"CHURCH, ERIC",Heart On Fire,solo,men,white,Cincinnati,X,X,B2BStraight,X
1/7/22,Hubbard,WUBE-FM,4:31:00 AM,"SHELTON, BLAKE/STEFANI, GWEN",Happy Anywhere,collab,male-female,white,Cincinnati,X,X,B2BStraight,X
1/7/22,Hubbard,WUBE-FM,4:34:00 AM,"PARDI, JON",Tequila Little Time,solo,men,white,Cincinnati,X,X,B2BStraight,X
1/7/22,Hubbard,WUBE-FM,4:37:00 AM,"COMBS, LUKE",Beer Never Broke My Heart,solo,men,white,Cincinnati,B2Bmen,B2BCombMen,B2BStraight,B2BwhiteMen
1/7/22,Hubbard,WUBE-FM,4:41:00 AM,"DICKERSON, RUSSELL",Home Sweet,solo,men,white,Cincinnati,B2Bmen,B2BCombMen,B2BStraight,B2BwhiteMen
1/7/22,Hubbard,WUBE-FM,4:44:00 AM,"BRYAN, LUKE","Sunrise, Sunburn, Sunset",solo,men,white,Cincinnati,B2Bmen,B2BCombMen,B2BStraight,B2BwhiteMen
1/7/22,Hubbard,WUBE-FM,4:48:00 AM,"ALDEAN, JASON/UNDERWOOD, CARRIE",If I Didn't Love You,collab,male-female,white,Cincinnati,X,X,B2BStraight,X
1/7/22,Hubbard,WUBE-FM,4:52:00 AM,"OWEN, JAKE",Best Thing Since Backroads,solo,men,white,Cincinnati,X,X,B2BStraight,X
1/7/22,Hubbard,WUBE-FM,4:55:00 AM,"BAND PERRY, THE",If I Die Young,trio,male-female,white,Cincinnati,X,X,B2BStraight,X
1/7/22,Hubbard,WUBE-FM,5:02:00 AM,"SWINDELL, COLE/WILSON, LAINEY",Never Say Never,collab,male-female,white,Cincinnati,B2Bmixed,B2BCombWomen,B2BStraight,B2BwhiteMixed
1/7/22,Hubbard,WUBE-FM,5:05:00 AM,DAN + SHAY,Tequila,duo,men,multiethnic,Cincinnati,X,X,B2BStraight,X
1/7/22,Hubbard,WUBE-FM,5:08:00 AM,"LAMBERT, MIRANDA",If I Was A Cowboy,solo,women,white,Cincinnati,X,X,B2BStraight,X
1/7/22,Hubbard,WUBE-FM,5:18:00 AM,"WALLEN, MORGAN",Sand In My Boots,solo,men,white,Cincinnati,X,X,B2BStraight,X
1/7/22,Hubbard,WUBE-FM,5:21:00 AM,"HUNT, SAM",Leave The Night On,solo,men,white,Cincinnati,B2Bmen,B2BCombMen,B2BStraight,B2BwhiteMen
1/7/22,Hubbard,WUBE-FM,5:24:00 AM,"RAY, FRANK",Country'd Look Good On You,solo,men,hispanic,Cincinnati,B2Bmen,B2BCombMen,B2BStraight,X
1/7/22,Hubbard,WUBE-FM,5:36:00 AM,"BALLERINI, KELSEA/CHESNEY, KENNY",Half Of My Hometown,collab,male-female,white,Cincinnati,X,X,B2BStraight,X
1/7/22,Hubbard,WUBE-FM,5:44:00 AM,ZAC BROWN BAND,Homegrown,group,men,white,Cincinnati,X,X,B2BStraight,X
1/7/22,Hubbard,WUBE-FM,5:47:00 AM,"STAPLETON, CHRIS",You Should Probably Leave,solo,men,white,Cincinnati,B2Bmen,B2BCombMen,B2BStraight,B2BwhiteMen
1/7/22,Hubbard,WUBE-FM,5:50:00 AM,"BRYAN, LUKE",Drink A Beer,solo,men,white,Cincinnati,B2Bmen,B2BCombMen,B2BStraight,B2BwhiteMen
1/7/22,Hubbard,WUBE-FM,5:55:00 AM,"KING, ELLE/LAMBERT, MIRANDA",Drunk (And I Don't Wanna Go..),collab,women,white,Cincinnati,X,X,B2BStraight,X
1/7/22,Hubbard,WUBE-FM,6:09:00 AM,"RAY, MICHAEL",Whiskey And Rain,solo,men,white,Cincinnati,X,X,B2BStraight,X
1/7/22,Hubbard,WUBE-FM,6:12:00 AM,"HUNT, SAM",23,solo,men,white,Cincinnati,B2Bmen,B2BCombMen,B2BStraight,B2BwhiteMen
1/7/22,Hubbard,WUBE-FM,6:19:00 AM,"ALDEAN, JASON",She's Country,solo,men,white,Cincinnati,B2Bmen,B2BCombMen,B2BStraight,B2BwhiteMen
1/7/22,Hubbard,WUBE-FM,6:24:00 AM,ADELE,Easy On Me,solo,women,white,Cincinnati,X,X,B2BStraight,X
1/7/22,Hubbard,WUBE-FM,6:40:00 AM,"BRYAN, LUKE",Country Girl (Shake It For Me),solo,men,white,Cincinnati,X,X,B2BStraight,X
1/7/22,Hubbard,WUBE-FM,6:47:00 AM,"PEARCE, CARLY/MCBRYDE, ASHLEY",Never Wanted To Be That Girl,collab,women,white,Cincinnati,X,X,B2BStraight,X
1/7/22,Hubbard,WUBE-FM,6:57:00 AM,"BROWN, KANE",One Mississippi,solo,men,multiethnic,Cincinnati,X,X,B2BStraight,X
1/7/22,Hubbard,WUBE-FM,7:06:00 AM,"ALDEAN, JASON/UNDERWOOD, CARRIE",If I Didn't Love You,collab,male-female,white,Cincinnati,X,X,B2BStraight,X
1/7/22,Hubbard,WUBE-FM,7:11:00 AM,"DAVIS, JORDAN/BRYAN, LUKE",Buy Dirt,collab,men,white,Cincinnati,X,X,B2BStraight,X
1/7/22,Hubbard,WUBE-FM,7:18:00 AM,"BROWN, KANE/ALAINA, LAUREN",What Ifs,collab,male-female,multiethnic,Cincinnati,X,X,B2BStraight,X
1/7/22,Hubbard,WUBE-FM,7:23:00 AM,"WALLEN, MORGAN",Sand In My Boots,solo,men,white,Cincinnati,X,X,B2BStraight,X
1/7/22,Hubbard,WUBE-FM,7:33:00 AM,"URBAN, KEITH",Somebody Like You,solo,men,white,Cincinnati,B2Bmen,B2BCombMen,B2BStraight,B2BwhiteMen
1/7/22,Hubbard,WUBE-FM,7:37:00 AM,"MCCOLLUM, PARKER",To Be Loved By You,solo,men,white,Cincinnati,B2Bmen,B2BCombMen,B2BStraight,B2BwhiteMen
1/7/22,Hubbard,WUBE-FM,7:49:00 AM,"BARRETT, GABBY",The Good Ones,solo,women,white,Cincinnati,X,X,B2BStraight,X
1/7/22,Hubbard,WUBE-FM,7:54:00 AM,"SHELTON, BLAKE",Come Back As A Country Boy,solo,men,white,Cincinnati,X,X,B2BStraight,X
1/7/22,Hubbard,WUBE-FM,7:57:00 AM,"SMITH, CANAAN",Love You Like That,solo,men,white,Cincinnati,B2Bmen,B2BCombMen,B2BStraight,B2BwhiteMen
1/7/22,Hubbard,WUBE-FM,8:06:00 AM,"STAPLETON, CHRIS",You Should Probably Leave,solo,men,white,Cincinnati,B2Bmen,B2BCombMen,B2BStraight,B2BwhiteMen
1/7/22,Hubbard,WUBE-FM,8:13:00 AM,"LAMBERT, MIRANDA",Bluebird,solo,women,white,Cincinnati,X,X,B2BStraight,X
1/7/22,Hubbard,WUBE-FM,8:28:00 AM,"LYNCH, DUSTIN",Ridin' Roads,solo,men,white,Cincinnati,X,X,B2BStraight,X
1/7/22,Hubbard,WUBE-FM,8:32:00 AM,"RHETT, THOMAS",Die A Happy Man,solo,men,white,Cincinnati,B2Bmen,B2BCombMen,B2BStraight,B2BwhiteMen
1/7/22,Hubbard,WUBE-FM,8:43:00 AM,"SWINDELL, COLE",Single Saturday Night,solo,men,white,Cincinnati,B2Bmen,B2BCombMen,B2BStraight,B2BwhiteMen
1/7/22,Hubbard,WUBE-FM,8:46:00 AM,"PARDI, JON",Tequila Little Time,solo,men,white,Cincinnati,B2Bmen,B2BCombMen,B2BStraight,B2BwhiteMen
1/7/22,Hubbard,WUBE-FM,8:50:00 AM,"LAMBERT, MIRANDA",Mama's Broken Heart,solo,women,white,Cincinnati,X,X,B2BStraight,X
1/7/22,Hubbard,WUBE-FM,8:53:00 AM,"RAY, MICHAEL",Whiskey And Rain,solo,men,white,Cincinnati,X,X,B2BStraight,X
1/7/22,Hubbard,WUBE-FM,8:56:00 AM,"HUNT, SAM",Body Like A Back Road,solo,men,white,Cincinnati,B2Bmen,B2BCombMen,B2BStraight,B2BwhiteMen
1/7/22,Hubbard,WUBE-FM,8:59:00 AM,"BRYAN, LUKE",Up,solo,men,white,Cincinnati,B2Bmen,B2BCombMen,B2BStraight,B2BwhiteMen
1/7/22,Hubbard,WUBE-FM,9:02:00 AM,RASCAL FLATTS,Life Is A Highway,trio,men,white,Cincinnati,B2Bmen,B2BCombMen,B2BStraight,B2BwhiteMen
1/7/22,Hubbard,WUBE-FM,9:06:00 AM,"WALLEN, MORGAN",Chasin' You,solo,men,white,Cincinnati,B2Bmen,B2BCombMen,B2BStraight,B2BwhiteMen
1/7/22,Hubbard,WUBE-FM,9:09:00 AM,ZAC BROWN BAND,Chicken Fried,group,men,white,Cincinnati,B2Bmen,B2BCombMen,B2BStraight,B2BwhiteMen
1/7/22,Hubbard,WUBE-FM,9:13:00 AM,ADELE,Easy On Me,solo,women,white,Cincinnati,X,X,B2BStraight,X
1/7/22,Hubbard,WUBE-FM,9:16:00 AM,"PARDI, JON",Dirt On My Boots,solo,men,white,Cincinnati,X,X,B2BStraight,X
1/7/22,Hubbard,WUBE-FM,9:20:00 AM,"SWINDELL, COLE/WILSON, LAINEY",Never Say Never,collab,male-female,white,Cincinnati,X,X,B2BStraight,X
1/7/22,Hubbard,WUBE-FM,9:23:00 AM,"BRYAN, LUKE",Waves,solo,men,white,Cincinnati,X,X,B2BStraight,X
1/7/22,Hubbard,WUBE-FM,9:27:00 AM,"KING, ELLE/LAMBERT, MIRANDA",Drunk (And I Don't Wanna Go..),collab,women,white,Cincinnati,X,X,B2BStraight,X
1/7/22,Hubbard,WUBE-FM,9:30:00 AM,"SHELTON, BLAKE",Honey Bee,solo,men,white,Cincinnati,X,X,B2BStraight,X
1/7/22,Hubbard,WUBE-FM,9:34:00 AM,"ALDEAN, JASON/UNDERWOOD, CARRIE",If I Didn't Love You,collab,male-female,white,Cincinnati,X,X,B2BStraight,X
1/7/22,Hubbard,WUBE-FM,9:37:00 AM,"DICKERSON, RUSSELL",Blue Tacoma,solo,men,white,Cincinnati,X,X,B2BStraight,X
1/7/22,Hubbard,WUBE-FM,9:41:00 AM,"BALLERINI, KELSEA/CHESNEY, KENNY",Half Of My Hometown,collab,male-female,white,Cincinnati,X,X,B2BStraight,X
1/7/22,Hubbard,WUBE-FM,9:45:00 AM,FLORIDA GEORGIA LINE,Cruise,duo,men,white,Cincinnati,X,X,B2BStraight,X
1/7/22,Hubbard,WUBE-FM,9:48:00 AM,"COMBS, LUKE",Forever After All,solo,men,white,Cincinnati,B2Bmen,B2BCombMen,B2BStraight,B2BwhiteMen
1/7/22,Hubbard,WUBE-FM,10:00:00 AM,"PARMALEE/BROWN, BLANCO",Just The Way,collab,men,multiethnic,Cincinnati,B2Bmen,B2BCombMen,B2BStraight,X
1/7/22,Hubbard,WUBE-FM,10:03:00 AM,"HUNT, SAM",23,solo,men,white,Cincinnati,B2Bmen,B2BCombMen,B2BStraight,X
1/7/22,Hubbard,WUBE-FM,10:06:00 AM,"SWINDELL, COLE",Ain't Worth The Whiskey,solo,men,white,Cincinnati,B2Bmen,B2BCombMen,B2BStraight,B2BwhiteMen
1/7/22,Hubbard,WUBE-FM,10:09:00 AM,"WALLEN, MORGAN",Sand In My Boots,solo,men,white,Cincinnati,B2Bmen,B2BCombMen,B2BStraight,B2BwhiteMen
1/7/22,Hubbard,WUBE-FM,10:13:00 AM,"LYNCH, DUSTIN",Small Town Boy,solo,men,white,Cincinnati,B2Bmen,B2BCombMen,B2BStraight,B2BwhiteMen
1/7/22,Hubbard,WUBE-FM,10:16:00 AM,"HURD, RYAN/MORRIS, MAREN",Chasing After You,collab,male-female,white,Cincinnati,X,X,B2BStraight,X
1/7/22,Hubbard,WUBE-FM,10:20:00 AM,"BROWN, KANE",One Mississippi,solo,men,multiethnic,Cincinnati,X,X,B2BStraight,X
1/7/22,Hubbard,WUBE-FM,10:27:00 AM,"ALDEAN, JASON",Girl Like You,solo,men,white,Cincinnati,B2Bmen,B2BCombMen,B2BStraight,X
1/7/22,Hubbard,WUBE-FM,10:30:00 AM,"STAPLETON, CHRIS",You Should Probably Leave,solo,men,white,Cincinnati,B2Bmen,B2BCombMen,B2BStraight,B2BwhiteMen
1/7/22,Hubbard,WUBE-FM,10:34:00 AM,"BRYAN, LUKE",Knockin' Boots,solo,men,white,Cincinnati,B2Bmen,B2BCombMen,B2BStraight,B2BwhiteMen
1/7/22,Hubbard,WUBE-FM,10:37:00 AM,"PEARCE, CARLY/MCBRYDE, ASHLEY",Never Wanted To Be That Girl,collab,women,white,Cincinnati,X,X,B2BStraight,X
1/7/22,Hubbard,WUBE-FM,10:40:00 AM,"COMBS, LUKE",Even Though I'm Leaving,solo,men,white,Cincinnati,X,X,B2BStraight,X
1/7/22,Hubbard,WUBE-FM,10:44:00 AM,"RHETT, THOMAS",What's Your Country Song,solo,men,white,Cincinnati,B2Bmen,B2BCombMen,B2BStraight,B2BwhiteMen
1/7/22,Hubbard,WUBE-FM,10:47:00 AM,"MOON, NIKO",Paradise To Me,solo,men,white,Cincinnati,B2Bmen,B2BCombMen,B2BStraight,B2BwhiteMen
1/7/22,Hubbard,WUBE-FM,10:51:00 AM,ELI YOUNG BAND,Crazy Girl,group,men,white,Cincinnati,B2Bmen,B2BCombMen,B2BStraight,B2BwhiteMen
1/7/22,Hubbard,WUBE-FM,10:59:00 AM,LOCASH,I Love This Life,duo,men,white,Cincinnati,B2Bmen,B2BCombMen,B2BStraight,B2BwhiteMen
1/7/22,Hubbard,WUBE-FM,11:03:00 AM,"DAVIS, JORDAN/BRYAN, LUKE",Buy Dirt,collab,men,white,Cincinnati,B2Bmen,B2BCombMen,B2BStraight,B2BwhiteMen
1/7/22,Hubbard,WUBE-FM,11:06:00 AM,"WILSON, LAINEY",Things A Man Oughta Know,solo,women,white,Cincinnati,X,X,B2BStraight,X
1/7/22,Hubbard,WUBE-FM,11:09:00 AM,"RAY, MICHAEL",Whiskey And Rain,solo,men,white,Cincinnati,X,X,B2BStraight,X
1/7/22,Hubbard,WUBE-FM,11:12:00 AM,"HUNT, SAM",Take Your Time,solo,men,white,Cincinnati,B2Bmen,B2BCombMen,B2BStraight,B2BwhiteMen
1/7/22,Hubbard,WUBE-FM,11:16:00 AM,"SHELTON, BLAKE",Come Back As A Country Boy,solo,men,white,Cincinnati,B2Bmen,B2BCombMen,B2BStraight,B2BwhiteMen
1/7/22,Hubbard,WUBE-FM,11:26:00 AM,"COMBS, LUKE",Lovin' On You,solo,men,white,Cincinnati,B2Bmen,B2BCombMen,B2BStraight,B2BwhiteMen
1/7/22,Hubbard,WUBE-FM,11:30:00 AM,"SWINDELL, COLE",You Should Be Here,solo,men,white,Cincinnati,B2Bmen,B2BCombMen,B2BStraight,B2BwhiteMen
1/7/22,Hubbard,WUBE-FM,11:33:00 AM,DAN + SHAY,Steal My Love,duo,men,multiethnic,Cincinnati,B2Bmen,B2BCombMen,B2BStraight,X
1/7/22,Hubbard,WUBE-FM,11:35:00 AM,"ATKINS, RODNEY",These Are My People,solo,men,white,Cincinnati,B2Bmen,B2BCombMen,B2BStraight,X
1/7/22,Hubbard,WUBE-FM,11:39:00 AM,ADELE,Easy On Me,solo,women,white,Cincinnati,X,X,B2BStraight,X
1/7/22,Hubbard,WUBE-FM,11:42:00 AM,FLORIDA GEORGIA LINE,This Is How We Roll,duo,men,white,Cincinnati,X,X,B2BStraight,X
