Date,Weekday,Dayparts,OWNER,Station,Time Played,Artist,Title,Rel. Date,GRC,genre,ensemble,gender,race,city,b2b_gender
2/7/22,"Monday, Barrett",PMD,iHeartMedia,WFUS-FM,5:06:00 PM,"UNDERWOOD, CARRIE",Blown Away,2012,G,c-,solo,women,white,Tampa,X
2/7/22,"Monday, Barrett",PMD,iHeartMedia,WFUS-FM,5:09:00 PM,"ALDEAN, JASON",Trouble With A Heartbreak,2022,R,c-,solo,men,white,Tampa,B2Bmen
2/7/22,"Monday, Barrett",PMD,iHeartMedia,WFUS-FM,5:13:00 PM,"YOUNG, CHRIS/BROWN, KANE",Famous Friends,2020,R,c-,collab,men,multiethnic,Tampa,B2Bmen
2/7/22,"Monday, Barrett",PMD,iHeartMedia,WFUS-FM,5:15:00 PM,BROOKS & DUNN,Ain't Nothing 'Bout You,2001,G,c-,duo,men,white,Tampa,B2Bmen
2/7/22,"Monday, Barrett",PMD,iHeartMedia,WFUS-FM,5:18:00 PM,"KING, ELLE/LAMBERT, MIRANDA",Drunk (And I Don't Wanna Go..),2021,R,c-,collab,women,white,Tampa,B2Bmen
2/7/22,"Monday, Barrett",PMD,iHeartMedia,WFUS-FM,5:32:00 PM,ZAC BROWN BAND,Same Boat,2021,R,c-,group,men,white,Tampa,B2Bmen
2/7/22,"Monday, Barrett",PMD,iHeartMedia,WFUS-FM,5:35:00 PM,"WALLEN, MORGAN",Sand In My Boots,2021,R,c-,solo,men,white,Tampa,B2Bmen
2/7/22,"Monday, Barrett",PMD,iHeartMedia,WFUS-FM,5:38:00 PM,"CHURCH, ERIC",Springsteen,2011,G,c-,solo,men,white,Tampa,B2Bmen
2/7/22,"Monday, Barrett",PMD,iHeartMedia,WFUS-FM,5:42:00 PM,"JANSON, CHRIS",Bye Mom,2021,R,c-,solo,men,white,Tampa,X
2/7/22,"Monday, Barrett",PMD,iHeartMedia,WFUS-FM,5:46:00 PM,"COMBS, LUKE",She Got The Best Of Me,2018,G,c-,solo,men,white,Tampa,X
2/7/22,"Monday, Barrett",PMD,iHeartMedia,WFUS-FM,5:49:00 PM,"ALDEAN, JASON",Big Green Tractor,2009,G,c-,solo,men,white,Tampa,B2Bmen
2/7/22,"Monday, Barrett",PMD,iHeartMedia,WFUS-FM,6:01:00 PM,"ALLEN, JIMMIE/PAISLEY, BRAD",Freedom Was A Highway,2020,R,c-,collab,men,multiethnic,Tampa,B2Bmen
2/7/22,"Monday, Barrett",PMD,iHeartMedia,WFUS-FM,6:04:00 PM,"BRYAN, LUKE","Sunrise, Sunburn, Sunset",2017,G,c-,solo,men,white,Tampa,B2Bmen
2/7/22,"Monday, Barrett",PMD,iHeartMedia,WFUS-FM,6:08:00 PM,"LYNCH, DUSTIN/PORTER, MACKENZIE",Thinking 'Bout You,2020,R,c-,collab,male-female,white,Tampa,B2Bmen
2/7/22,"Monday, Barrett",PMD,iHeartMedia,WFUS-FM,6:11:00 PM,"URBAN, KEITH",Days Go By,2004,G,c-,solo,men,white,Tampa,B2Bmen
2/7/22,"Monday, Barrett",PMD,iHeartMedia,WFUS-FM,6:15:00 PM,"HUNT, SAM",23,2021,R,c-,solo,men,white,Tampa,B2Bmen
2/7/22,"Monday, Barrett",PMD,iHeartMedia,WFUS-FM,6:17:00 PM,"BRICE, LEE",One Of Them Girls,2020,G,c-,solo,men,white,Tampa,B2Bmen
2/7/22,"Monday, Barrett",PMD,iHeartMedia,WFUS-FM,6:20:00 PM,"JOHNSON, CODY",Til You Can't,2021,R,c-,solo,men,white,Tampa,B2Bmen
2/7/22,"Monday, Barrett",PMD,iHeartMedia,WFUS-FM,6:31:00 PM,"RUCKER, DARIUS",Wagon Wheel,2012,G,c-,solo,men,black,Tampa,B2Bmen
2/7/22,"Monday, Barrett",PMD,iHeartMedia,WFUS-FM,6:34:00 PM,"BENTLEY, DIERKS/BRELAND/HARDY",Beers On Me,2021,R,c-,collab,men,multiethnic,Tampa,X
2/7/22,"Monday, Barrett",PMD,iHeartMedia,WFUS-FM,6:37:00 PM,"ALDEAN, JASON/UNDERWOOD, CARRIE",If I Didn't Love You,2021,R,c-,collab,male-female,white,Tampa,X
2/7/22,"Monday, Barrett",PMD,iHeartMedia,WFUS-FM,6:47:00 PM,"BALLERINI, KELSEA/CHESNEY, KENNY",Half Of My Hometown,2020,R,c-,collab,male-female,white,Tampa,B2Bmen
2/7/22,"Monday, Barrett",PMD,iHeartMedia,WFUS-FM,6:51:00 PM,"KEITH, TOBY",As Good As I Once Was,2005,G,c-,solo,men,white,Tampa,B2Bmen
2/7/22,"Monday, Barrett",EVE,iHeartMedia,WFUS-FM,7:03:00 PM,"DICKERSON, RUSSELL",Home Sweet,2020,R,c-,solo,men,white,Tampa,X
2/7/22,"Monday, Barrett",EVE,iHeartMedia,WFUS-FM,7:07:00 PM,"DAVIS, JORDAN/BRYAN, LUKE",Buy Dirt,2021,R,c-,collab,men,white,Tampa,X
2/7/22,"Monday, Barrett",EVE,iHeartMedia,WFUS-FM,7:09:00 PM,FLORIDA GEORGIA LINE,Stay,2012,G,c-,duo,men,white,Tampa,B2Bmen
2/7/22,"Monday, Barrett",EVE,iHeartMedia,WFUS-FM,7:13:00 PM,"STAPLETON, CHRIS",You Should Probably Leave,2020,R,c-,solo,men,white,Tampa,B2Bmen
2/7/22,"Monday, Barrett",EVE,iHeartMedia,WFUS-FM,7:16:00 PM,"MCCREERY, SCOTTY",You Time,2020,R,c-,solo,men,white,Tampa,X
2/7/22,"Monday, Barrett",EVE,iHeartMedia,WFUS-FM,7:19:00 PM,"MORRIS, MAREN",Circles Around This Town,2022,R,c-,solo,women,white,Tampa,X
2/7/22,"Monday, Barrett",EVE,iHeartMedia,WFUS-FM,7:22:00 PM,"ALDEAN, JASON",She's Country,2008,G,c-,solo,men,white,Tampa,X
2/7/22,"Monday, Barrett",EVE,iHeartMedia,WFUS-FM,7:33:00 PM,"HAYES, WALKER",Fancy Like,2021,R,c-,solo,men,white,Tampa,B2Bmen
2/7/22,"Monday, Barrett",EVE,iHeartMedia,WFUS-FM,7:36:00 PM,"YOUNG, CHRIS",Hangin' On,2017,G,c-,solo,men,white,Tampa,B2Bmen
2/7/22,"Monday, Barrett",EVE,iHeartMedia,WFUS-FM,7:39:00 PM,"RHETT, THOMAS",Slow Down Summer,2021,R,c-,solo,men,white,Tampa,B2Bmen
2/7/22,"Monday, Barrett",EVE,iHeartMedia,WFUS-FM,7:42:00 PM,"ALLAN, GARY",Watching Airplanes,2007,G,c-,solo,men,white,Tampa,B2Bmen
2/7/22,"Monday, Barrett",EVE,iHeartMedia,WFUS-FM,7:46:00 PM,"HUNT, SAM",23,2021,R,c-,solo,men,white,Tampa,B2Bmen
2/7/22,"Monday, Barrett",EVE,iHeartMedia,WFUS-FM,7:49:00 PM,"COMBS, LUKE",Cold As You,2020,R,c-,solo,men,white,Tampa,B2Bmen
2/7/22,"Monday, Barrett",EVE,iHeartMedia,WFUS-FM,7:52:00 PM,HARDY,Give Heaven Some Hell,2020,R,c-,solo,men,white,Tampa,B2Bmen
2/7/22,"Monday, Barrett",EVE,iHeartMedia,WFUS-FM,7:55:00 PM,"PARMALEE/BROWN, BLANCO",Just The Way,2019,R,c-,collab,men,multiethnic,Tampa,B2Bmen
2/7/22,"Monday, Barrett",EVE,iHeartMedia,WFUS-FM,8:06:00 PM,"BALLERINI, KELSEA/CHESNEY, KENNY",Half Of My Hometown,2020,R,c-,collab,male-female,white,Tampa,B2Bmen
2/7/22,"Monday, Barrett",EVE,iHeartMedia,WFUS-FM,8:09:00 PM,"BENTLEY, DIERKS",What Was I Thinkin',2003,G,c-,solo,men,white,Tampa,B2Bmen
2/7/22,"Monday, Barrett",EVE,iHeartMedia,WFUS-FM,8:13:00 PM,"MCCOLLUM, PARKER",To Be Loved By You,2020,R,c-,solo,men,white,Tampa,B2Bmen
2/7/22,"Monday, Barrett",EVE,iHeartMedia,WFUS-FM,8:16:00 PM,"LYNCH, DUSTIN/PORTER, MACKENZIE",Thinking 'Bout You,2020,R,c-,collab,male-female,white,Tampa,B2Bmen
2/7/22,"Monday, Barrett",EVE,iHeartMedia,WFUS-FM,8:19:00 PM,"DAVIS, JORDAN/BRYAN, LUKE",Buy Dirt,2021,R,c-,collab,men,white,Tampa,B2Bmen
2/7/22,"Monday, Barrett",EVE,iHeartMedia,WFUS-FM,8:22:00 PM,"ALDEAN, JASON",When She Says Baby,2012,G,c-,solo,men,white,Tampa,B2Bmen
2/7/22,"Monday, Barrett",EVE,iHeartMedia,WFUS-FM,8:25:00 PM,"BROWN, KANE",One Mississippi,2021,R,c-,solo,men,multiethnic,Tampa,B2Bmen
2/7/22,"Monday, Barrett",EVE,iHeartMedia,WFUS-FM,8:28:00 PM,"COMBS, LUKE",When It Rains It Pours,2017,G,c-,solo,men,white,Tampa,X
2/7/22,"Monday, Barrett",EVE,iHeartMedia,WFUS-FM,8:32:00 PM,LADY ANTEBELLUM,What A Song Can Do,2021,R,c-,trio,male-female,white,Tampa,X
2/7/22,"Monday, Barrett",EVE,iHeartMedia,WFUS-FM,8:36:00 PM,"HAYES, WALKER",Fancy Like,2021,R,c-,solo,men,white,Tampa,X
2/7/22,"Monday, Barrett",EVE,iHeartMedia,WFUS-FM,8:38:00 PM,ZAC BROWN BAND,Same Boat,2021,R,c-,group,men,white,Tampa,B2Bmen
2/7/22,"Monday, Barrett",EVE,iHeartMedia,WFUS-FM,8:41:00 PM,"WALLEN, MORGAN",Sand In My Boots,2021,R,c-,solo,men,white,Tampa,B2Bmen
2/7/22,"Monday, Barrett",EVE,iHeartMedia,WFUS-FM,8:51:00 PM,"ATKINS, RODNEY",If You're Going Through Hell,2005,G,c-,solo,men,white,Tampa,B2Bmen
2/7/22,"Monday, Barrett",EVE,iHeartMedia,WFUS-FM,8:55:00 PM,"SWINDELL, COLE/WILSON, LAINEY",Never Say Never,2021,R,c-,collab,male-female,white,Tampa,B2Bmen
2/7/22,"Monday, Barrett",EVE,iHeartMedia,WFUS-FM,8:57:00 PM,"RICE, CHASE/FLORIDA GEORGIA LINE",Drinkin' Beer Talkin' God Amen,2020,R,c-,collab,men,white,Tampa,X
2/7/22,"Monday, Barrett",EVE,iHeartMedia,WFUS-FM,9:00:00 PM,"BRYAN, LUKE",Up,2021,R,c-,solo,men,white,Tampa,B2Bmixed
2/7/22,"Monday, Barrett",EVE,iHeartMedia,WFUS-FM,9:03:00 PM,"HUNT, SAM",23,2021,R,c-,solo,men,white,Tampa,X
2/7/22,"Monday, Barrett",EVE,iHeartMedia,WFUS-FM,9:06:00 PM,"ALDEAN, JASON/UNDERWOOD, CARRIE",If I Didn't Love You,2021,R,c-,collab,male-female,white,Tampa,B2Bmen
2/7/22,"Monday, Barrett",EVE,iHeartMedia,WFUS-FM,9:16:00 PM,RASCAL FLATTS,These Days,2002,G,c-,trio,men,white,Tampa,B2Bmen
2/7/22,"Monday, Barrett",EVE,iHeartMedia,WFUS-FM,9:19:00 PM,"KEITH, TOBY",Old School,2021,C,c-,solo,men,white,Tampa,B2Bmen
2/7/22,"Monday, Barrett",EVE,iHeartMedia,WFUS-FM,9:22:00 PM,"BENTLEY, DIERKS",Gone,2020,R,c-,solo,men,white,Tampa,B2Bmen
2/7/22,"Monday, Barrett",EVE,iHeartMedia,WFUS-FM,9:26:00 PM,"OWEN, JAKE",Best Thing Since Backroads,2021,R,c-,solo,men,white,Tampa,B2Bmen
2/7/22,"Monday, Barrett",EVE,iHeartMedia,WFUS-FM,9:29:00 PM,"ALLEN, JIMMIE/PAISLEY, BRAD",Freedom Was A Highway,2020,R,c-,collab,men,multiethnic,Tampa,X
2/7/22,"Monday, Barrett",EVE,iHeartMedia,WFUS-FM,9:32:00 PM,"BRICE, LEE",Memory I Don't Mess With,2020,R,c-,solo,men,white,Tampa,X
2/7/22,"Monday, Barrett",EVE,iHeartMedia,WFUS-FM,9:35:00 PM,"URBAN, KEITH",Better Life,2004,G,c-,solo,men,white,Tampa,B2Bmen
2/7/22,"Monday, Barrett",EVE,iHeartMedia,WFUS-FM,9:44:00 PM,"BALLERINI, KELSEA/CHESNEY, KENNY",Half Of My Hometown,2020,R,c-,collab,male-female,white,Tampa,B2Bmen
2/7/22,"Monday, Barrett",EVE,iHeartMedia,WFUS-FM,9:47:00 PM,"WALLEN, MORGAN",Whiskey Glasses,2016,G,c-,solo,men,white,Tampa,B2Bmen
2/7/22,"Monday, Barrett",EVE,iHeartMedia,WFUS-FM,9:51:00 PM,"DAVIS, JORDAN/BRYAN, LUKE",Buy Dirt,2021,R,c-,collab,men,white,Tampa,B2Bmen
2/7/22,"Monday, Barrett",EVE,iHeartMedia,WFUS-FM,9:54:00 PM,"LYNCH, DUSTIN",Seein' Red,2016,G,c-,solo,men,white,Tampa,B2Bmen
2/7/22,"Monday, Barrett",EVE,iHeartMedia,WFUS-FM,9:57:00 PM,"ALDEAN, JASON",Trouble With A Heartbreak,2022,R,c-,solo,men,white,Tampa,X
2/7/22,"Monday, Barrett",EVE,iHeartMedia,WFUS-FM,10:00:00 PM,"HAYES, WALKER",Fancy Like,2021,R,c-,solo,men,white,Tampa,B2Bwomen
2/7/22,"Monday, Barrett",EVE,iHeartMedia,WFUS-FM,10:03:00 PM,"SWINDELL, COLE",Single Saturday Night,2020,R,c-,solo,men,white,Tampa,X
2/7/22,"Monday, Barrett",EVE,iHeartMedia,WFUS-FM,10:06:00 PM,"YOUNG, CHRIS/TENPENNY, MITCHELL",At The End Of A Bar,2021,R,c-,collab,men,white,Tampa,B2Bmen
2/7/22,"Monday, Barrett",EVE,iHeartMedia,WFUS-FM,10:09:00 PM,"DICKERSON, RUSSELL",Home Sweet,2020,R,c-,solo,men,white,Tampa,B2Bmen
2/7/22,"Monday, Barrett",EVE,iHeartMedia,WFUS-FM,10:12:00 PM,"JACKSON, ALAN/BUFFETT, JIMMY",It's Five O'Clock Somewhere,2003,G,c-,collab,men,white,Tampa,B2Bmen
2/7/22,"Monday, Barrett",EVE,iHeartMedia,WFUS-FM,10:16:00 PM,"HUNT, SAM",23,2021,R,c-,solo,men,white,Tampa,X
2/7/22,"Monday, Barrett",EVE,iHeartMedia,WFUS-FM,10:19:00 PM,"COMBS, LUKE",Forever After All,2020,R,c-,solo,men,white,Tampa,X
2/7/22,"Monday, Barrett",EVE,iHeartMedia,WFUS-FM,10:29:00 PM,"SCOTT, DYLAN",New Truck,2021,R,c-,solo,men,white,Tampa,B2Bmen
2/7/22,"Monday, Barrett",EVE,iHeartMedia,WFUS-FM,10:32:00 PM,"MOORE, KIP",Beer Money,2012,G,c-,solo,men,white,Tampa,B2Bmen
2/7/22,"Monday, Barrett",EVE,iHeartMedia,WFUS-FM,10:36:00 PM,"BENTLEY, DIERKS/BRELAND/HARDY",Beers On Me,2021,R,c-,collab,men,multiethnic,Tampa,B2Bmen
2/7/22,"Monday, Barrett",EVE,iHeartMedia,WFUS-FM,10:43:00 PM,"JANSON, CHRIS",Fix A Drink,2017,G,c-,solo,men,white,Tampa,B2Bmen
2/7/22,"Monday, Barrett",EVE,iHeartMedia,WFUS-FM,10:46:00 PM,"KING, ELLE/LAMBERT, MIRANDA",Drunk (And I Don't Wanna Go..),2021,R,c-,collab,women,white,Tampa,B2Bmen
2/7/22,"Monday, Barrett",EVE,iHeartMedia,WFUS-FM,10:57:00 PM,"PEARCE, CARLY/MCBRYDE, ASHLEY",Never Wanted To Be That Girl,2021,R,c-,collab,women,white,Tampa,B2Bmen
2/7/22,"Monday, Barrett",EVE,iHeartMedia,WFUS-FM,11:01:00 PM,"CHURCH, ERIC",Heart On Fire,2021,R,c-,solo,men,white,Tampa,B2Bmen
2/7/22,"Monday, Barrett",EVE,iHeartMedia,WFUS-FM,11:05:00 PM,"URBAN, KEITH",Wild Hearts,2021,R,c-,solo,men,white,Tampa,X
2/7/22,"Monday, Barrett",EVE,iHeartMedia,WFUS-FM,11:08:00 PM,"JOHNSON, CODY",Til You Can't,2021,R,c-,solo,men,white,Tampa,B2Bwomen
2/7/22,"Monday, Barrett",EVE,iHeartMedia,WFUS-FM,11:11:00 PM,"RICE, CHASE",If I Were Rock & Roll,2021,R,c-,solo,men,white,Tampa,B2Bwomen
2/7/22,"Monday, Barrett",EVE,iHeartMedia,WFUS-FM,11:14:00 PM,"SHELTON, BLAKE",Come Back As A Country Boy,2021,R,c-,solo,men,white,Tampa,X
2/7/22,"Monday, Barrett",EVE,iHeartMedia,WFUS-FM,11:18:00 PM,"STAPLETON, CHRIS",You Should Probably Leave,2020,R,c-,solo,men,white,Tampa,B2Bmen
2/7/22,"Monday, Barrett",EVE,iHeartMedia,WFUS-FM,11:27:00 PM,ZAC BROWN BAND,Same Boat,2021,R,c-,group,men,white,Tampa,B2Bmen
2/7/22,"Monday, Barrett",EVE,iHeartMedia,WFUS-FM,11:31:00 PM,"BALLERINI, KELSEA/CHESNEY, KENNY",Half Of My Hometown,2020,R,c-,collab,male-female,white,Tampa,B2Bmen
2/7/22,"Monday, Barrett",EVE,iHeartMedia,WFUS-FM,11:34:00 PM,"NICHOLS, JOE",Gimmie That Girl,2009,G,c-,solo,men,white,Tampa,X
2/7/22,"Monday, Barrett",EVE,iHeartMedia,WFUS-FM,11:43:00 PM,"YOUNG, CHRIS/BROWN, KANE",Famous Friends,2020,R,c-,collab,men,multiethnic,Tampa,X
2/7/22,"Monday, Barrett",EVE,iHeartMedia,WFUS-FM,11:46:00 PM,"DAVIS, JORDAN/BRYAN, LUKE",Buy Dirt,2021,R,c-,collab,men,white,Tampa,B2Bmen
2/7/22,"Monday, Barrett",EVE,iHeartMedia,WFUS-FM,11:48:00 PM,"LYNCH, DUSTIN/PORTER, MACKENZIE",Thinking 'Bout You,2020,R,c-,collab,male-female,white,Tampa,B2Bmen
2/7/22,"Monday, Barrett",EVE,iHeartMedia,WFUS-FM,11:51:00 PM,"WALLEN, MORGAN",Sand In My Boots,2021,R,c-,solo,men,white,Tampa,X
2/7/22,"Monday, Barrett",EVE,iHeartMedia,WFUS-FM,11:54:00 PM,"BENTLEY, DIERKS",Living,2018,G,c-,solo,men,white,Tampa,X
2/7/22,"Monday, Barrett",EVE,iHeartMedia,WFUS-FM,11:58:00 PM,"ALDEAN, JASON",Trouble With A Heartbreak,2022,R,c-,solo,men,white,Tampa,X
2/25/22,"Friday, regular",OVN,iHeartMedia,WFUS-FM,12:02:00 AM,"SWINDELL, COLE/WILSON, LAINEY",Never Say Never,2021,R,c-,collab,male-female,white,Tampa,X
2/25/22,"Friday, regular",OVN,iHeartMedia,WFUS-FM,12:04:00 AM,"BALLERINI, KELSEA/CHESNEY, KENNY",Half Of My Hometown,2020,R,c-,collab,male-female,white,Tampa,B2Bmen
2/25/22,"Friday, regular",OVN,iHeartMedia,WFUS-FM,12:12:00 AM,"BENTLEY, DIERKS/BRELAND/HARDY",Beers On Me,2021,R,c-,collab,men,multiethnic,Tampa,X
2/25/22,"Friday, regular",OVN,iHeartMedia,WFUS-FM,12:15:00 AM,"BRYAN, LUKE",Kiss Tomorrow Goodbye,2011,G,c-,solo,men,white,Tampa,X
2/25/22,"Friday, regular",OVN,iHeartMedia,WFUS-FM,12:18:00 AM,"COMBS, LUKE",Forever After All,2020,R,c-,solo,men,white,Tampa,B2Bmen
2/25/22,"Friday, regular",OVN,iHeartMedia,WFUS-FM,12:22:00 AM,LADY ANTEBELLUM,What A Song Can Do,2021,R,c-,trio,male-female,white,Tampa,B2Bmen
2/25/22,"Friday, regular",OVN,iHeartMedia,WFUS-FM,12:26:00 AM,"YOUNG, CHRIS",I'm Comin' Over,2015,G,c-,solo,men,white,Tampa,B2Bmen
2/25/22,"Friday, regular",OVN,iHeartMedia,WFUS-FM,12:29:00 AM,"ALLEN, JIMMIE/PAISLEY, BRAD",Freedom Was A Highway,2020,R,c-,collab,men,multiethnic,Tampa,B2Bmen
2/25/22,"Friday, regular",OVN,iHeartMedia,WFUS-FM,12:32:00 AM,"CHURCH, ERIC",Heart On Fire,2021,R,c-,solo,men,white,Tampa,B2Bmen
2/25/22,"Friday, regular",OVN,iHeartMedia,WFUS-FM,12:36:00 AM,"JANSON, CHRIS",Bye Mom,2021,R,c-,solo,men,white,Tampa,B2Bmen
2/25/22,"Friday, regular",OVN,iHeartMedia,WFUS-FM,12:46:00 AM,"PARDI, JON",Last Night Lonely,2022,R,c-,solo,men,white,Tampa,X
2/25/22,"Friday, regular",OVN,iHeartMedia,WFUS-FM,12:49:00 AM,"LYNCH, DUSTIN/PORTER, MACKENZIE",Thinking 'Bout You,2020,R,c-,collab,male-female,white,Tampa,X
2/25/22,"Friday, regular",OVN,iHeartMedia,WFUS-FM,12:51:00 AM,DAN + SHAY,Steal My Love,2021,R,c-,duo,men,multiethnic,Tampa,B2Bmen
2/25/22,"Friday, regular",OVN,iHeartMedia,WFUS-FM,12:54:00 AM,"CHESNEY, KENNY",Everyone She Knows,2020,R,c-,solo,men,white,Tampa,X
2/25/22,"Friday, regular",OVN,iHeartMedia,WFUS-FM,12:57:00 AM,"COMBS, LUKE",When It Rains It Pours,2017,G,c-,solo,men,white,Tampa,X
2/25/22,"Friday, regular",OVN,iHeartMedia,WFUS-FM,1:02:00 AM,"STAPLETON, CHRIS",You Should Probably Leave,2020,R,c-,solo,men,white,Tampa,X
2/25/22,"Friday, regular",OVN,iHeartMedia,WFUS-FM,1:05:00 AM,"HAYES, WALKER",Fancy Like,2021,R,c-,solo,men,white,Tampa,B2Bmen
2/25/22,"Friday, regular",OVN,iHeartMedia,WFUS-FM,1:08:00 AM,"KEITH, TOBY",Old School,2021,C,c-,solo,men,white,Tampa,B2Bmen
2/25/22,"Friday, regular",OVN,iHeartMedia,WFUS-FM,1:16:00 AM,"LAMBERT, MIRANDA",If I Was A Cowboy,2021,R,c-,solo,women,white,Tampa,B2Bmen
2/25/22,"Friday, regular",OVN,iHeartMedia,WFUS-FM,1:19:00 AM,FLORIDA GEORGIA LINE,Get Your Shine On,2012,G,c-,duo,men,white,Tampa,B2Bmen
2/25/22,"Friday, regular",OVN,iHeartMedia,WFUS-FM,1:22:00 AM,"DAVIS, JORDAN/BRYAN, LUKE",Buy Dirt,2021,R,c-,collab,men,white,Tampa,X
2/25/22,"Friday, regular",OVN,iHeartMedia,WFUS-FM,1:25:00 AM,"ALDEAN, JASON",Trouble With A Heartbreak,2022,R,c-,solo,men,white,Tampa,X
2/25/22,"Friday, regular",OVN,iHeartMedia,WFUS-FM,1:28:00 AM,"URBAN, KEITH",Who Wouldn't Wanna Be Me,2002,G,c-,solo,men,white,Tampa,B2Bmen
2/25/22,"Friday, regular",OVN,iHeartMedia,WFUS-FM,1:32:00 AM,HARDY,Give Heaven Some Hell,2020,R,c-,solo,men,white,Tampa,B2Bmen
2/25/22,"Friday, regular",OVN,iHeartMedia,WFUS-FM,1:35:00 AM,"BENTLEY, DIERKS",Gone,2020,R,c-,solo,men,white,Tampa,X
2/25/22,"Friday, regular",OVN,iHeartMedia,WFUS-FM,1:38:00 AM,"BROWN, KANE",One Mississippi,2021,R,c-,solo,men,multiethnic,Tampa,X
2/25/22,"Friday, regular",OVN,iHeartMedia,WFUS-FM,1:46:00 AM,"YOUNG, CHRIS/TENPENNY, MITCHELL",At The End Of A Bar,2021,R,c-,collab,men,white,Tampa,B2Bmen
2/25/22,"Friday, regular",OVN,iHeartMedia,WFUS-FM,1:49:00 AM,"OWEN, JAKE",Barefoot Blue Jean Night,2011,G,c-,solo,men,white,Tampa,B2Bmen
2/25/22,"Friday, regular",OVN,iHeartMedia,WFUS-FM,1:52:00 AM,"PEARCE, CARLY/MCBRYDE, ASHLEY",Never Wanted To Be That Girl,2021,R,c-,collab,women,white,Tampa,B2Bmen
2/25/22,"Friday, regular",OVN,iHeartMedia,WFUS-FM,1:55:00 AM,"HUNT, SAM",23,2021,R,c-,solo,men,white,Tampa,B2Bmen
2/25/22,"Friday, regular",OVN,iHeartMedia,WFUS-FM,1:58:00 AM,"ALDEAN, JASON/UNDERWOOD, CARRIE",If I Didn't Love You,2021,R,c-,collab,male-female,white,Tampa,X
2/25/22,"Friday, regular",OVN,iHeartMedia,WFUS-FM,2:01:00 AM,"DICKERSON, RUSSELL",Home Sweet,2020,R,c-,solo,men,white,Tampa,X
2/25/22,"Friday, regular",OVN,iHeartMedia,WFUS-FM,2:05:00 AM,"WALLEN, MORGAN",Sand In My Boots,2021,R,c-,solo,men,white,Tampa,B2Bmen
2/25/22,"Friday, regular",OVN,iHeartMedia,WFUS-FM,2:08:00 AM,"COMBS, LUKE",Cold As You,2020,R,c-,solo,men,white,Tampa,B2Bmen
2/25/22,"Friday, regular",OVN,iHeartMedia,WFUS-FM,2:15:00 AM,"KING, ELLE/LAMBERT, MIRANDA",Drunk (And I Don't Wanna Go..),2021,R,c-,collab,women,white,Tampa,X
2/25/22,"Friday, regular",OVN,iHeartMedia,WFUS-FM,2:19:00 AM,"GRACIN, JOSH",Nothin' To Lose,2004,G,c-,solo,men,white,Tampa,X
2/25/22,"Friday, regular",OVN,iHeartMedia,WFUS-FM,2:21:00 AM,OLD DOMINION,No Hard Feelings,2021,R,c-,group,men,white,Tampa,B2Bmen
2/25/22,"Friday, regular",OVN,iHeartMedia,WFUS-FM,2:24:00 AM,"BRICE, LEE",Memory I Don't Mess With,2020,R,c-,solo,men,white,Tampa,X
2/25/22,"Friday, regular",OVN,iHeartMedia,WFUS-FM,2:27:00 AM,"URBAN, KEITH",Wild Hearts,2021,R,c-,solo,men,white,Tampa,X
2/25/22,"Friday, regular",OVN,iHeartMedia,WFUS-FM,2:30:00 AM,"MCCOLLUM, PARKER",To Be Loved By You,2020,R,c-,solo,men,white,Tampa,B2Bmen
2/25/22,"Friday, regular",OVN,iHeartMedia,WFUS-FM,2:33:00 AM,FLORIDA GEORGIA LINE,Sippin' On Fire,2014,G,c-,duo,men,white,Tampa,X
2/25/22,"Friday, regular",OVN,iHeartMedia,WFUS-FM,2:36:00 AM,"MCCREERY, SCOTTY",Damn Strait,2021,R,c-,solo,men,white,Tampa,X
2/25/22,"Friday, regular",OVN,iHeartMedia,WFUS-FM,2:46:00 AM,"MCGRAW, TIM",7500 OBO,2020,R,c-,solo,men,white,Tampa,B2Bmen
2/25/22,"Friday, regular",OVN,iHeartMedia,WFUS-FM,2:49:00 AM,"BALLERINI, KELSEA/CHESNEY, KENNY",Half Of My Hometown,2020,R,c-,collab,male-female,white,Tampa,B2Bmen
2/25/22,"Friday, regular",OVN,iHeartMedia,WFUS-FM,2:53:00 AM,"OWEN, JAKE",Best Thing Since Backroads,2021,R,c-,solo,men,white,Tampa,X
2/25/22,"Friday, regular",OVN,iHeartMedia,WFUS-FM,2:56:00 AM,"ZAC BROWN BAND/BUFFETT, JIMMY",Knee Deep,2010,G,c-,collab,men,white,Tampa,X
2/25/22,"Friday, regular",OVN,iHeartMedia,WFUS-FM,2:59:00 AM,"RICE, CHASE",If I Were Rock & Roll,2021,R,c-,solo,men,white,Tampa,B2Bmen
2/25/22,"Friday, regular",OVN,iHeartMedia,WFUS-FM,3:03:00 AM,"ALLEN, JIMMIE/PAISLEY, BRAD",Freedom Was A Highway,2020,R,c-,collab,men,multiethnic,Tampa,B2Bmen
2/25/22,"Friday, regular",OVN,iHeartMedia,WFUS-FM,3:06:00 AM,"DAVIS, JORDAN/BRYAN, LUKE",Buy Dirt,2021,R,c-,collab,men,white,Tampa,B2Bmen
2/25/22,"Friday, regular",OVN,iHeartMedia,WFUS-FM,3:09:00 AM,"SCOTT, DYLAN",New Truck,2021,R,c-,solo,men,white,Tampa,B2Bmen
2/25/22,"Friday, regular",OVN,iHeartMedia,WFUS-FM,3:16:00 AM,"COMBS, LUKE",Doin' This,2021,R,c-,solo,men,white,Tampa,X
