date,weekday,dayparts,owner,station,time,artist,title,release,grc,genre,ensemble,gender,race,city,lgbtq,b2b_gender,b2b_combinedGender,b2b_collabGender,b2b_lgbtq,b2b_race,b2b_raceGender
1/7/22,"Friday, Morris",OVN,Audacy/Entercom,WUSN-FM,3:14:00 AM,"JOHNSON, CODY",Til You Can't,2021,R,c-,solo,men,white,Chicago,false,B2Bmen,B2BCombMen,B2BCollabMen,X,B2Bwhite,B2BwhiteMen
1/7/22,"Friday, Morris",OVN,Audacy/Entercom,WUSN-FM,3:18:00 AM,"RICE, CHASE",If I Were Rock & Roll,2021,R,c-,solo,men,white,Chicago,false,B2Bmen,B2BCombMen,B2BCollabMen,X,B2Bwhite,B2BwhiteMen
1/7/22,"Friday, Morris",OVN,Audacy/Entercom,WUSN-FM,3:21:00 AM,"MCCOLLUM, PARKER",To Be Loved By You,2020,R,c-,solo,men,white,Chicago,false,B2Bmen,B2BCombMen,B2BCollabMen,X,B2Bwhite,B2BwhiteMen
1/7/22,"Friday, Morris",OVN,Audacy/Entercom,WUSN-FM,3:24:00 AM,"MORRIS, MAREN",Circles Around This Town,2022,R,c-,solo,women,white,Chicago,false,X,X,X,X,B2Bwhite,X
1/7/22,"Friday, Morris",OVN,Audacy/Entercom,WUSN-FM,3:27:00 AM,"LYNCH, DUSTIN",Hell Of A Night,2014,G,c-,solo,men,white,Chicago,false,X,X,X,X,B2Bwhite,X
1/7/22,"Friday, Morris",OVN,Audacy/Entercom,WUSN-FM,3:31:00 AM,"BRYAN, LUKE",Up,2021,R,c-,solo,men,white,Chicago,false,B2Bmen,B2BCombMen,B2BCollabMen,X,B2Bwhite,B2BwhiteMen
1/7/22,"Friday, Morris",OVN,Audacy/Entercom,WUSN-FM,3:33:00 AM,"SWINDELL, COLE",Single Saturday Night,2020,R,c-,solo,men,white,Chicago,false,B2Bmen,B2BCombMen,B2BCollabMen,X,B2Bwhite,B2BwhiteMen
1/7/22,"Friday, Morris",OVN,Audacy/Entercom,WUSN-FM,3:37:00 AM,"MOORE, JUSTIN",We Didn't Have Much,2020,R,c-,solo,men,white,Chicago,false,B2Bmen,B2BCombMen,B2BCollabMen,X,B2Bwhite,B2BwhiteMen
1/7/22,"Friday, Morris",OVN,Audacy/Entercom,WUSN-FM,3:39:00 AM,"BALLERINI, KELSEA/CHESNEY, KENNY",Half Of My Hometown,2020,R,c-,collab,male-female,white,Chicago,false,X,X,X,X,B2Bwhite,X
1/7/22,"Friday, Morris",OVN,Audacy/Entercom,WUSN-FM,3:43:00 AM,"YOUNG, CHRIS/TENPENNY, MITCHELL",At The End Of A Bar,2021,R,c-,collab,men,white,Chicago,false,X,X,X,X,B2Bwhite,X
1/7/22,"Friday, Morris",OVN,Audacy/Entercom,WUSN-FM,3:51:00 AM,"RHETT, THOMAS",What's Your Country Song,2020,R,c-,solo,men,white,Chicago,false,B2Bmen,B2BCombMen,B2BCollabMen,X,B2Bwhite,B2BwhiteMen
1/7/22,"Friday, Morris",OVN,Audacy/Entercom,WUSN-FM,3:54:00 AM,"SCOTT, DYLAN",New Truck,2021,R,c-,solo,men,white,Chicago,false,B2Bmen,B2BCombMen,B2BCollabMen,X,B2Bwhite,B2BwhiteMen
1/7/22,"Friday, Morris",OVN,Audacy/Entercom,WUSN-FM,3:56:00 AM,"BRICE, LEE",Memory I Don't Mess With,2020,R,c-,solo,men,white,Chicago,false,B2Bmen,B2BCombMen,B2BCollabMen,X,B2Bwhite,B2BwhiteMen
1/7/22,"Friday, Morris",OVN,Audacy/Entercom,WUSN-FM,3:59:00 AM,"WALLEN, MORGAN",Sand In My Boots,2021,R,c-,solo,men,white,Chicago,false,B2Bmen,B2BCombMen,B2BCollabMen,X,B2Bwhite,B2BwhiteMen
1/7/22,"Friday, Morris",OVN,Audacy/Entercom,WUSN-FM,4:03:00 AM,"ALLEN, JIMMIE/PAISLEY, BRAD",Freedom Was A Highway,2020,R,c-,collab,men,multiethnic,Chicago,false,B2Bmen,B2BCombMen,B2BCollabMen,X,X,X
