date,weekday,dayparts,owner,station,time,artist,title,release,grc,genre,ensemble,gender,race,city,lgbtq,b2b_gender,b2b_combinedGender,b2b_collabGender,b2b_lgbtq,b2b_raceGender
1/7/22,"Friday, Morris",OVN,iHeartMedia,WKKT-FM,2:24:00 AM,"PARDI, JON",Tequila Little Time,2019,R,c-,solo,men,white,Charlotte,false,B2Bmen,B2BCombMen,B2BCollabMen,B2BStraight,B2BwhiteMen
1/7/22,"Friday, Morris",OVN,iHeartMedia,WKKT-FM,2:27:00 AM,"BRYAN, LUKE",That's My Kind Of Night,2013,G,c-,solo,men,white,Charlotte,false,B2Bmen,B2BCombMen,B2BCollabMen,B2BStraight,B2BwhiteMen
1/7/22,"Friday, Morris",OVN,iHeartMedia,WKKT-FM,2:30:00 AM,"BALLERINI, KELSEA/CHESNEY, KENNY",Half Of My Hometown,2020,R,c-,collab,male-female,white,Charlotte,false,X,X,X,B2BStraight,X
1/7/22,"Friday, Morris",OVN,iHeartMedia,WKKT-FM,2:34:00 AM,"COMBS, LUKE/CHURCH, ERIC",Does To Me,2019,G,c-,collab,men,white,Charlotte,false,X,X,X,B2BStraight,X
1/7/22,"Friday, Morris",OVN,iHeartMedia,WKKT-FM,2:37:00 AM,"RAY, MICHAEL",Whiskey And Rain,2020,R,c-,solo,men,white,Charlotte,false,B2Bmen,B2BCombMen,B2BCollabMen,B2BStraight,B2BwhiteMen
1/7/22,"Friday, Morris",OVN,iHeartMedia,WKKT-FM,2:45:00 AM,"BOOTH, LACI KAYE",Shuffle,2021,C,c-,solo,women,white,Charlotte,false,X,X,X,B2BStraight,X
1/7/22,"Friday, Morris",OVN,iHeartMedia,WKKT-FM,2:49:00 AM,"URBAN, KEITH",Wild Hearts,2021,R,c-,solo,men,white,Charlotte,false,X,X,X,B2BStraight,X
1/7/22,"Friday, Morris",OVN,iHeartMedia,WKKT-FM,2:52:00 AM,"MOORE, KIP",Somethin' 'Bout A Truck,2011,G,c-,solo,men,white,Charlotte,false,B2Bmen,B2BCombMen,B2BCollabMen,B2BStraight,B2BwhiteMen
1/7/22,"Friday, Morris",OVN,iHeartMedia,WKKT-FM,2:55:00 AM,DAN + SHAY,Tequila,2018,G,c-,duo,men,multiethnic,Charlotte,false,B2Bmen,B2BCombMen,B2BCollabMen,B2BStraight,X
1/7/22,"Friday, Morris",OVN,iHeartMedia,WKKT-FM,2:59:00 AM,ZAC BROWN BAND,Same Boat,2021,R,c-,group,men,white,Charlotte,false,B2Bmen,B2BCombMen,B2BCollabMen,B2BStraight,X
1/7/22,"Friday, Morris",OVN,iHeartMedia,WKKT-FM,3:02:00 AM,HARDY,Give Heaven Some Hell,2020,R,c-,solo,men,white,Charlotte,false,B2Bmen,B2BCombMen,B2BCollabMen,B2BStraight,B2BwhiteMen
1/7/22,"Friday, Morris",OVN,iHeartMedia,WKKT-FM,3:05:00 AM,"RHETT, THOMAS",Get Me Some Of That,2013,G,c-,solo,men,white,Charlotte,false,B2Bmen,B2BCombMen,B2BCollabMen,B2BStraight,B2BwhiteMen
1/7/22,"Friday, Morris",OVN,iHeartMedia,WKKT-FM,3:08:00 AM,"LYNCH, DUSTIN/PORTER, MACKENZIE",Thinking 'Bout You,2020,R,c-,collab,male-female,white,Charlotte,false,X,X,X,B2BStraight,X
